Store,Items,Amount,Category
Electric Company,monthly #7527,673.66,Bills & Utilities
Local Clinic,prescription health medicine,391.75,Healthcare
Pizza Hut,delivery,109.0,Food & Dining
Miscellaneous,misc,462.05,Others
Chipotle,dinner restaurant delivery #4096,80.19,Food & Dining
Verizon,payment utility,325.85,Bills & Utilities
Lyft,transit #7753,27.58,Transportation
Metro,fuel,64.35,Transportation
Water Service,utility monthly service #8350,937.2,Bills & Utilities
Nike,purchase accessories #1677,191.38,Shopping
Water Service,utility payment,537.31,Bills & Utilities
Shell,transportation,65.85,Transportation
Whole Foods,produce,106.3,Groceries
Metro,ride transit #6942,72.66,Transportation
Subway,delivery meal lunch,251.09,Food & Dining
Water Service,monthly,214.96,Bills & Utilities
Kroger,meat produce,187.57,Groceries
Kroger,produce,110.32,Groceries
Pizza Hut,dinner,627.74,Food & Dining
Pizza Hut,dinner restaurant meal,451.61,Food & Dining
Various Services,service general misc,744.04,Others
Xbox,game streaming,37.07,Entertainment
Subway,takeout delivery dinner #7230,967.81,Food & Dining
Pizza Hut,lunch delivery,724.82,Food & Dining
Miscellaneous,service payment,968.07,Others
BP,taxi ride fuel,26.58,Transportation
Uber,ride taxi,34.05,Transportation
AT&T,monthly #7297,27.64,Bills & Utilities
Pizza Hut,lunch dinner #6062,740.2,Food & Dining
Shell,transportation fuel,32.63,Transportation
Target,clothes accessories purchase,280.77,Shopping
Kroger,meat dairy bread,174.15,Groceries
Miscellaneous,other payment,168.6,Others
Chipotle,takeout #8343,982.46,Food & Dining
Local Restaurant,delivery,161.8,Food & Dining
Walgreens,prescription health #7492,470.2,Healthcare
Verizon,utility bill payment #4750,536.31,Bills & Utilities
Spotify,entertainment game,28.18,Entertainment
Safeway,produce dairy,118.66,Groceries
BP,gas fuel #5184,29.11,Transportation
Steam,entertainment game #3399,39.34,Entertainment
Whole Foods,food dairy bread,56.0,Groceries
Metro,transit,67.35,Transportation
Verizon,bill utility payment,617.39,Bills & Utilities
Walmart,meat groceries dairy #7978,188.1,Groceries
Uber,fuel #3323,60.9,Transportation
Whole Foods,food #9885,44.39,Groceries
Subway,lunch takeout,412.84,Food & Dining
Walgreens,doctor medical prescription,292.05,Healthcare
Pizza Hut,dinner,91.69,Food & Dining
AMC Theaters,game streaming,30.6,Entertainment
Miscellaneous,general,654.14,Others
Unknown Vendor,other payment general,661.27,Others
Uber,gas ride fuel #6732,38.41,Transportation
Various Services,payment,888.13,Others
Chipotle,restaurant,34.4,Food & Dining
Local Restaurant,delivery,112.79,Food & Dining
Miscellaneous,other,83.86,Others
Quest Diagnostics,medicine #5916,130.84,Healthcare
H&M,clothes electronics shoes #3999,219.01,Shopping
Unknown Vendor,other,86.82,Others
Local Clinic,health doctor,433.79,Healthcare
Various Services,service payment misc,312.35,Others
Local Clinic,medical health,219.07,Healthcare
Uber,transportation taxi transit,15.77,Transportation
AMC Theaters,entertainment game,16.67,Entertainment
BP,transit fuel transportation #6258,54.95,Transportation
Xbox,music,13.3,Entertainment
Safeway,meat groceries bread #5960,160.5,Groceries
Xbox,streaming,17.02,Entertainment
McDonalds,takeout #9136,727.08,Food & Dining
Chipotle,restaurant #2151,692.53,Food & Dining
Metro,transit taxi fuel,15.67,Transportation
Unknown Vendor,general misc service,400.36,Others
Nike,shoes,231.73,Shopping
Netflix,movie music,46.13,Entertainment
Various Services,general service #8406,700.03,Others
Walgreens,prescription #5275,447.11,Healthcare
Best Buy,shoes clothes accessories,251.91,Shopping
Safeway,groceries,178.53,Groceries
Quest Diagnostics,health medical #1138,355.54,Healthcare
Amazon,shoes accessories,197.07,Shopping
Steam,music streaming game,44.89,Entertainment
Local Restaurant,lunch delivery dinner #7752,144.74,Food & Dining
Netflix,music game,31.37,Entertainment
McDonalds,dinner meal lunch #7633,872.65,Food & Dining
Electric Company,service bill utility,250.7,Bills & Utilities
Local Clinic,medicine,193.21,Healthcare
Whole Foods,produce dairy groceries,64.71,Groceries
Uber,ride transportation gas,77.4,Transportation
Quest Diagnostics,prescription doctor,217.33,Healthcare
Netflix,entertainment,14.72,Entertainment
Chipotle,dinner takeout delivery,606.83,Food & Dining
H&M,clothes,166.52,Shopping
Verizon,monthly service,700.44,Bills & Utilities
Local Clinic,health,346.67,Healthcare
Quest Diagnostics,medicine,321.75,Healthcare
McDonalds,lunch delivery restaurant,522.4,Food & Dining
Quest Diagnostics,medical medicine #8162,216.58,Healthcare
Unknown Vendor,general,565.96,Others
McDonalds,dinner takeout,459.05,Food & Dining
BP,transportation,46.31,Transportation
Xbox,game movie music #8267,27.68,Entertainment
McDonalds,dinner,71.83,Food & Dining
McDonalds,restaurant delivery,338.52,Food & Dining
Chipotle,lunch restaurant,969.16,Food & Dining
Miscellaneous,other misc payment,204.32,Others
Chipotle,dinner meal lunch,257.58,Food & Dining
Miscellaneous,general,80.93,Others
Whole Foods,bread,25.34,Groceries
Spotify,entertainment game movie,43.97,Entertainment
Various Services,payment,119.97,Others
Walgreens,prescription medical,241.6,Healthcare
Trader Joes,meat produce bread,192.86,Groceries
Safeway,meat,187.13,Groceries
Local Clinic,prescription #8666,368.53,Healthcare
Unknown Vendor,other misc service,34.66,Others
Safeway,food meat bread #8075,37.79,Groceries
Miscellaneous,other misc,183.51,Others
Steam,streaming game #9002,23.48,Entertainment
Walgreens,health,156.73,Healthcare
Safeway,groceries #5435,143.39,Groceries
Best Buy,accessories purchase electronics,269.22,Shopping
Nike,shoes accessories purchase,120.38,Shopping
Pizza Hut,takeout,796.5,Food & Dining
Shell,gas taxi transit,24.31,Transportation
Local Clinic,prescription medical doctor,356.63,Healthcare
Water Service,service,669.54,Bills & Utilities
Local Clinic,doctor prescription,351.96,Healthcare
Spotify,entertainment game movie,40.17,Entertainment
McDonalds,restaurant meal,519.04,Food & Dining
Netflix,entertainment,43.0,Entertainment
Chipotle,takeout meal #6713,306.66,Food & Dining
Various Services,misc service other,628.36,Others
AMC Theaters,streaming,43.59,Entertainment
Electric Company,service utility,825.96,Bills & Utilities
Subway,takeout,708.0,Food & Dining
Metro,fuel ride transportation,16.19,Transportation
Electric Company,monthly payment,816.01,Bills & Utilities
Quest Diagnostics,doctor health #5756,348.57,Healthcare
Amazon,purchase electronics #3706,190.51,Shopping
Quest Diagnostics,medical health prescription,309.71,Healthcare
BP,gas taxi #9571,64.03,Transportation
Subway,meal dinner lunch,783.8,Food & Dining
Subway,meal,350.65,Food & Dining
Steam,game #3752,19.49,Entertainment
Whole Foods,dairy,71.91,Groceries
Trader Joes,groceries food #6960,191.73,Groceries
Metro,fuel,58.99,Transportation
Whole Foods,groceries food produce,23.49,Groceries
Pizza Hut,dinner takeout meal,249.59,Food & Dining
H&M,electronics shoes #7258,103.18,Shopping
Metro,transit ride fuel #6252,46.77,Transportation
Amazon,shoes accessories,49.38,Shopping
Verizon,utility service,945.56,Bills & Utilities
Various Services,other payment service,179.2,Others
Unknown Vendor,general other service,854.62,Others
Steam,movie streaming game #9713,38.88,Entertainment
McDonalds,meal #8484,608.37,Food & Dining
Electric Company,service #5227,780.45,Bills & Utilities
Miscellaneous,other payment misc #4084,717.58,Others
Various Services,other payment,373.87,Others
Amazon,accessories,125.38,Shopping
Lyft,transportation gas #4165,23.24,Transportation
Miscellaneous,general payment service,157.11,Others
Chipotle,delivery lunch,667.96,Food & Dining
Local Clinic,doctor prescription #2804,366.7,Healthcare
Uber,fuel gas ride,33.83,Transportation
Water Service,bill monthly,303.06,Bills & Utilities
Local Restaurant,lunch,555.72,Food & Dining
Best Buy,accessories shoes,221.49,Shopping
Walgreens,medicine medical,138.53,Healthcare
Target,electronics,240.78,Shopping
Electric Company,monthly service payment #7289,66.17,Bills & Utilities
Electric Company,service monthly bill,629.42,Bills & Utilities
Lyft,fuel gas transit,49.2,Transportation
Xbox,movie entertainment game #2774,43.83,Entertainment
Spotify,game movie #4049,22.46,Entertainment
BP,ride taxi,47.23,Transportation
Local Clinic,prescription,245.16,Healthcare
Miscellaneous,service general,144.72,Others
Verizon,payment bill service,985.86,Bills & Utilities
H&M,accessories purchase #4982,95.05,Shopping
Local Clinic,medicine #3928,272.99,Healthcare
Best Buy,electronics shoes accessories,260.73,Shopping
Kroger,food meat bread,115.37,Groceries
Shell,transportation taxi #4140,40.55,Transportation
Local Clinic,medical doctor,455.08,Healthcare
Electric Company,bill,956.15,Bills & Utilities
Miscellaneous,payment general,75.93,Others
Spotify,movie music,16.14,Entertainment
Miscellaneous,general other #8163,758.89,Others
Verizon,service payment,656.71,Bills & Utilities
Unknown Vendor,service #3359,319.64,Others
Xbox,streaming movie #1714,18.02,Entertainment
Trader Joes,bread produce,46.59,Groceries
Target,clothes electronics,49.14,Shopping
Chipotle,lunch #9810,244.34,Food & Dining
Xbox,music game,10.78,Entertainment
Local Clinic,prescription,320.99,Healthcare
Nike,shoes purchase,39.99,Shopping
Best Buy,clothes purchase,207.86,Shopping
Various Services,service other payment,665.81,Others
Walmart,food groceries meat,38.36,Groceries
Uber,taxi gas,8.94,Transportation
Whole Foods,produce bread meat,101.47,Groceries
Target,electronics purchase clothes #4183,115.72,Shopping
Pizza Hut,restaurant takeout meal,372.17,Food & Dining
Best Buy,electronics shoes purchase,148.08,Shopping
Metro,fuel #7669,51.35,Transportation
Water Service,monthly bill,838.98,Bills & Utilities
Uber,taxi transit,64.39,Transportation
Various Services,misc payment service,133.7,Others
Uber,transit fuel,43.96,Transportation
Target,clothes accessories shoes,197.24,Shopping
Quest Diagnostics,health prescription doctor #7124,111.05,Healthcare
Best Buy,electronics purchase,186.73,Shopping
Electric Company,utility monthly #4443,683.3,Bills & Utilities
Nike,clothes shoes electronics,120.57,Shopping
Kroger,groceries meat,48.76,Groceries
Miscellaneous,misc payment,94.12,Others
Water Service,bill payment utility,432.82,Bills & Utilities
Lyft,transit fuel,8.37,Transportation
CVS,doctor,65.76,Healthcare
McDonalds,delivery dinner lunch,332.67,Food & Dining
CVS,prescription doctor medical,249.1,Healthcare
AT&T,monthly bill payment #8945,892.28,Bills & Utilities
Verizon,monthly utility service,265.87,Bills & Utilities
Safeway,meat,65.49,Groceries
Target,electronics accessories #8451,212.97,Shopping
Amazon,clothes electronics,285.37,Shopping
Quest Diagnostics,prescription,24.31,Healthcare
Local Clinic,doctor prescription medicine,487.4,Healthcare
Various Services,payment misc other,182.67,Others
Subway,meal,76.18,Food & Dining
McDonalds,dinner meal,422.87,Food & Dining
Steam,music entertainment,14.44,Entertainment
Best Buy,accessories,245.34,Shopping
Steam,movie entertainment,28.9,Entertainment
Verizon,bill,215.78,Bills & Utilities
CVS,health,411.99,Healthcare
Shell,transportation transit fuel,71.84,Transportation
Electric Company,bill #6891,313.74,Bills & Utilities
Verizon,service,790.93,Bills & Utilities
Miscellaneous,payment,915.59,Others
Local Clinic,prescription medical medicine #4618,118.24,Healthcare
Metro,ride fuel gas,17.01,Transportation
Local Restaurant,lunch restaurant #5156,719.51,Food & Dining
Pizza Hut,takeout meal #7273,101.83,Food & Dining
Electric Company,service,414.17,Bills & Utilities
Kroger,bread groceries #9305,21.77,Groceries
Whole Foods,food produce bread,86.68,Groceries
Amazon,electronics shoes clothes,120.4,Shopping
Verizon,payment,301.31,Bills & Utilities
Miscellaneous,payment,984.86,Others
Pizza Hut,lunch,268.49,Food & Dining
Walmart,meat,119.81,Groceries
Local Restaurant,takeout restaurant #4491,148.23,Food & Dining
Kroger,dairy meat,162.74,Groceries
Target,purchase clothes,229.47,Shopping
AMC Theaters,entertainment movie game,44.05,Entertainment
Subway,restaurant lunch,961.16,Food & Dining
Miscellaneous,other general,756.02,Others
AMC Theaters,entertainment music movie,43.11,Entertainment
Shell,fuel transportation,10.5,Transportation
AT&T,utility service #5401,336.95,Bills & Utilities
Metro,transportation gas,53.14,Transportation
Unknown Vendor,payment #4993,169.19,Others
Verizon,payment #9429,183.99,Bills & Utilities
H&M,clothes purchase #5083,139.04,Shopping
Safeway,groceries #3414,161.68,Groceries
Miscellaneous,payment,601.82,Others
Whole Foods,produce meat,72.89,Groceries
Quest Diagnostics,health #3934,306.32,Healthcare
CVS,health medicine prescription,165.14,Healthcare
Subway,dinner lunch,983.53,Food & Dining
Metro,transit taxi ride #1790,51.41,Transportation
Metro,ride gas,67.62,Transportation
Various Services,general other,507.3,Others
Nike,shoes clothes purchase,112.68,Shopping
Metro,gas,11.26,Transportation
Electric Company,bill #9336,888.7,Bills & Utilities
Xbox,streaming music game #7871,29.74,Entertainment
Walmart,food meat,44.69,Groceries
Miscellaneous,service payment general,735.98,Others
Uber,transportation #9366,17.52,Transportation
Verizon,service utility #9526,180.53,Bills & Utilities
Trader Joes,groceries,67.05,Groceries
AMC Theaters,music movie game #9133,45.5,Entertainment
Uber,taxi gas transportation #1142,29.97,Transportation
Water Service,payment bill monthly,742.69,Bills & Utilities
Subway,dinner takeout delivery #6831,699.34,Food & Dining
Steam,entertainment,11.03,Entertainment
H&M,clothes,156.17,Shopping
AT&T,utility #5667,932.24,Bills & Utilities
Chipotle,lunch,394.38,Food & Dining
Local Restaurant,meal lunch,679.24,Food & Dining
Kroger,bread groceries meat,164.23,Groceries
Verizon,payment,700.84,Bills & Utilities
Trader Joes,produce meat groceries,60.14,Groceries
Walgreens,health #7230,122.19,Healthcare
AMC Theaters,entertainment movie game #8071,47.76,Entertainment
Safeway,dairy,174.46,Groceries
Xbox,entertainment,14.29,Entertainment
Trader Joes,produce #9502,173.82,Groceries
Uber,ride taxi,35.23,Transportation
Spotify,streaming,36.67,Entertainment
Electric Company,payment utility,399.36,Bills & Utilities
BP,fuel taxi,44.49,Transportation
Whole Foods,produce bread,130.87,Groceries
Uber,taxi fuel,65.73,Transportation
Uber,taxi,77.93,Transportation
Kroger,food,118.87,Groceries
Quest Diagnostics,health doctor prescription #6221,485.61,Healthcare
Kroger,food,35.57,Groceries
Spotify,game music,48.91,Entertainment
Local Clinic,medicine,34.39,Healthcare
Chipotle,meal lunch restaurant #3472,516.61,Food & Dining
Unknown Vendor,payment general other #9007,673.5,Others
Uber,transit taxi fuel,52.34,Transportation
McDonalds,meal lunch,206.94,Food & Dining
Pizza Hut,dinner meal delivery,586.97,Food & Dining
Xbox,game music,43.34,Entertainment
Local Restaurant,delivery restaurant,487.31,Food & Dining
Electric Company,payment,547.22,Bills & Utilities
Whole Foods,meat,141.9,Groceries
Amazon,electronics shoes clothes #7116,266.6,Shopping
Unknown Vendor,other misc,428.8,Others
Unknown Vendor,misc,65.75,Others
Miscellaneous,service general misc,186.34,Others
Target,clothes purchase,203.73,Shopping
Walgreens,health,452.64,Healthcare
Walmart,groceries produce food,153.22,Groceries
Local Clinic,prescription health,41.31,Healthcare
Steam,entertainment,32.49,Entertainment
Safeway,meat produce #5604,173.82,Groceries
Netflix,game #1263,20.99,Entertainment
Xbox,music movie entertainment,33.18,Entertainment
Subway,dinner,963.02,Food & Dining
Local Restaurant,lunch delivery dinner,544.99,Food & Dining
McDonalds,delivery takeout meal,362.84,Food & Dining
Various Services,general,435.85,Others
Walgreens,medical,200.69,Healthcare
Lyft,ride gas,21.96,Transportation
Walgreens,medical #3486,243.75,Healthcare
Local Restaurant,delivery restaurant takeout,508.65,Food & Dining
Walgreens,prescription medicine,116.32,Healthcare
Water Service,service monthly,539.54,Bills & Utilities
Uber,ride transportation taxi,20.6,Transportation
Spotify,music game movie,15.22,Entertainment
Uber,fuel transit,18.4,Transportation
Uber,transit transportation ride,75.42,Transportation
Trader Joes,dairy #7122,193.58,Groceries
Miscellaneous,payment,646.36,Others
Lyft,gas,7.57,Transportation
Netflix,streaming #2823,47.96,Entertainment
Lyft,transportation,6.55,Transportation
Spotify,movie entertainment,37.03,Entertainment
Local Clinic,doctor medical,246.88,Healthcare
Metro,transit fuel taxi #7553,31.36,Transportation
Unknown Vendor,misc,479.17,Others
Various Services,other payment,685.92,Others
AT&T,utility service monthly,142.68,Bills & Utilities
BP,gas #8210,38.53,Transportation
Walgreens,medicine,433.15,Healthcare
Trader Joes,bread,140.67,Groceries
Pizza Hut,takeout dinner,150.92,Food & Dining
Whole Foods,bread dairy food,64.33,Groceries
Pizza Hut,delivery dinner lunch,835.57,Food & Dining
Walgreens,medical health,280.16,Healthcare
Water Service,utility,941.48,Bills & Utilities
Best Buy,clothes,56.17,Shopping
Spotify,game movie entertainment,27.54,Entertainment
Best Buy,purchase #3370,281.4,Shopping
Miscellaneous,misc general,538.66,Others
Spotify,entertainment movie #7957,37.07,Entertainment
Verizon,payment,227.31,Bills & Utilities
Spotify,music entertainment #6906,12.96,Entertainment
Steam,streaming music game,39.43,Entertainment
Verizon,monthly utility #1886,313.64,Bills & Utilities
Unknown Vendor,general other misc #6545,379.19,Others
Whole Foods,food meat,49.98,Groceries
Xbox,game movie streaming,23.65,Entertainment
Quest Diagnostics,health medical,226.14,Healthcare
Netflix,game #3328,30.46,Entertainment
Uber,gas,40.42,Transportation
Spotify,streaming movie #1560,42.39,Entertainment
Quest Diagnostics,health,287.36,Healthcare
BP,gas ride,5.64,Transportation
CVS,medical,209.39,Healthcare
Walgreens,prescription doctor,455.27,Healthcare
Local Clinic,medicine,377.79,Healthcare
Lyft,transit transportation,35.33,Transportation
Various Services,payment #6299,718.48,Others
Electric Company,payment monthly service,72.18,Bills & Utilities
CVS,prescription #3745,311.05,Healthcare
Electric Company,utility monthly,52.83,Bills & Utilities
AT&T,utility payment monthly,989.09,Bills & Utilities
Local Restaurant,delivery takeout dinner,215.01,Food & Dining
Netflix,entertainment game,24.15,Entertainment
Walgreens,doctor prescription medicine,439.38,Healthcare
Spotify,streaming game,32.69,Entertainment
Water Service,utility monthly service #2070,423.3,Bills & Utilities
Quest Diagnostics,prescription doctor,117.39,Healthcare
Whole Foods,dairy #2618,37.39,Groceries
H&M,electronics purchase shoes,264.58,Shopping
Best Buy,clothes shoes purchase #7069,253.41,Shopping
Amazon,accessories clothes purchase,28.34,Shopping
Local Clinic,medicine prescription medical,348.45,Healthcare
Unknown Vendor,other payment,38.48,Others
Uber,transit ride,21.98,Transportation
Various Services,service,255.63,Others
AT&T,utility monthly,590.27,Bills & Utilities
Lyft,transportation taxi gas,66.85,Transportation
Spotify,streaming #3257,28.06,Entertainment
Target,clothes electronics,262.48,Shopping
Whole Foods,produce meat groceries,146.81,Groceries
CVS,health doctor #8192,498.96,Healthcare
Local Restaurant,restaurant lunch meal #9035,653.67,Food & Dining
Uber,ride fuel #7381,22.97,Transportation
Subway,lunch #2097,866.75,Food & Dining
Subway,takeout,303.83,Food & Dining
McDonalds,meal,552.23,Food & Dining
Local Restaurant,restaurant takeout meal,150.22,Food & Dining
Quest Diagnostics,medical medicine doctor,394.82,Healthcare
Shell,taxi transit transportation,31.24,Transportation
Lyft,taxi transit ride,51.84,Transportation
Water Service,service monthly utility #5916,786.46,Bills & Utilities
Lyft,transit,18.87,Transportation
Walgreens,medical health,155.28,Healthcare
Chipotle,lunch,931.95,Food & Dining
Verizon,service,528.64,Bills & Utilities
Water Service,monthly,257.09,Bills & Utilities
Whole Foods,dairy food,149.1,Groceries
Walgreens,doctor prescription medicine #9041,105.26,Healthcare
Pizza Hut,lunch restaurant takeout,278.32,Food & Dining
Whole Foods,food,73.54,Groceries
Pizza Hut,dinner,767.16,Food & Dining
Unknown Vendor,service,850.87,Others
Walgreens,health doctor,179.87,Healthcare
Chipotle,takeout delivery #3469,496.22,Food & Dining
Uber,fuel transportation gas #1135,34.94,Transportation
Trader Joes,meat bread,25.85,Groceries
Quest Diagnostics,medical doctor medicine,395.28,Healthcare
Various Services,other,551.81,Others
Trader Joes,meat dairy food #2908,42.1,Groceries
Quest Diagnostics,medical prescription,339.54,Healthcare
Quest Diagnostics,medical,199.21,Healthcare
Lyft,ride gas transportation,26.5,Transportation
Various Services,general,21.58,Others
Best Buy,purchase,293.54,Shopping
Shell,transit ride,56.19,Transportation
Quest Diagnostics,medical prescription #3821,339.81,Healthcare
Lyft,transit fuel #9985,66.99,Transportation
Netflix,music,24.3,Entertainment
Trader Joes,produce meat,150.4,Groceries
Walgreens,doctor medicine,393.98,Healthcare
Quest Diagnostics,medicine medical prescription,365.51,Healthcare
Electric Company,utility monthly,320.05,Bills & Utilities
Miscellaneous,general other,937.48,Others
Lyft,ride gas transportation,40.21,Transportation
H&M,accessories clothes,119.04,Shopping
Netflix,streaming game movie #9105,16.18,Entertainment
Metro,gas ride taxi,48.9,Transportation
Metro,ride,9.66,Transportation
Quest Diagnostics,prescription,83.91,Healthcare
Nike,accessories,216.78,Shopping
Trader Joes,groceries produce,107.92,Groceries
Lyft,ride,23.5,Transportation
Chipotle,dinner lunch takeout #1530,583.02,Food & Dining
Verizon,utility,928.45,Bills & Utilities
Whole Foods,food,34.43,Groceries
Various Services,general misc payment #4760,578.47,Others
Miscellaneous,misc,723.17,Others
Chipotle,dinner meal restaurant #5457,575.49,Food & Dining
Subway,dinner,382.95,Food & Dining
Pizza Hut,delivery,292.79,Food & Dining
Spotify,streaming game entertainment #2459,24.44,Entertainment
AMC Theaters,music movie,12.04,Entertainment
Unknown Vendor,payment other,729.35,Others
CVS,medical health prescription,453.88,Healthcare
Whole Foods,bread,65.52,Groceries
Shell,transit,54.88,Transportation
Subway,takeout lunch #1629,715.79,Food & Dining
Trader Joes,groceries #6875,146.53,Groceries
Uber,gas taxi,19.4,Transportation
Safeway,groceries food produce,123.74,Groceries
Various Services,service general other,720.46,Others
Pizza Hut,dinner #4024,273.18,Food & Dining
Quest Diagnostics,medical health,57.79,Healthcare
Electric Company,bill,442.22,Bills & Utilities
Walgreens,doctor #6777,129.17,Healthcare
Walgreens,health #7115,32.06,Healthcare
Trader Joes,groceries meat food,32.78,Groceries
Verizon,bill utility,790.51,Bills & Utilities
Nike,electronics accessories clothes,238.26,Shopping
Miscellaneous,service,766.83,Others
Miscellaneous,payment misc general,210.64,Others
Unknown Vendor,payment service other,72.61,Others
Verizon,monthly,453.09,Bills & Utilities
AMC Theaters,music entertainment #4540,47.94,Entertainment
BP,gas,21.87,Transportation
Quest Diagnostics,prescription doctor,297.25,Healthcare
BP,ride #5613,66.6,Transportation
Spotify,streaming music entertainment #6340,31.64,Entertainment
Steam,streaming #2761,23.16,Entertainment
Best Buy,clothes purchase shoes #2845,197.83,Shopping
Shell,gas fuel taxi #1426,68.8,Transportation
Trader Joes,produce meat,39.83,Groceries
Uber,transit #1327,30.99,Transportation
Safeway,dairy bread meat,74.07,Groceries
Local Clinic,prescription,475.81,Healthcare
H&M,shoes clothes electronics,243.52,Shopping
BP,transportation transit taxi,77.08,Transportation
Miscellaneous,payment other misc,142.25,Others
Water Service,bill utility monthly #5264,780.45,Bills & Utilities
Walgreens,health prescription medical #6914,408.99,Healthcare
Netflix,game music,25.47,Entertainment
Amazon,accessories purchase #1753,15.26,Shopping
Miscellaneous,payment general #3929,718.23,Others
Xbox,game,49.76,Entertainment
Netflix,movie entertainment,22.3,Entertainment
Steam,entertainment streaming game,16.58,Entertainment
Walgreens,doctor prescription #8399,59.25,Healthcare
Miscellaneous,other,679.89,Others
Local Clinic,medicine #8240,103.88,Healthcare
Spotify,game streaming,21.91,Entertainment
Walmart,produce dairy bread #9841,172.78,Groceries
Walgreens,medicine #7203,137.31,Healthcare
Local Clinic,health,77.62,Healthcare
Walgreens,health doctor,296.02,Healthcare
Quest Diagnostics,doctor medical,73.41,Healthcare
Miscellaneous,other,435.51,Others
BP,fuel ride gas,71.45,Transportation
Walgreens,health prescription medical #1452,190.99,Healthcare
Kroger,food dairy meat,145.95,Groceries
Uber,taxi #4504,69.95,Transportation
Local Clinic,medical prescription,336.67,Healthcare
Shell,transit fuel ride,66.53,Transportation
Subway,delivery lunch,418.69,Food & Dining
AT&T,monthly,653.24,Bills & Utilities
McDonalds,meal takeout,918.78,Food & Dining
Various Services,general misc,56.73,Others
Water Service,utility bill monthly,390.23,Bills & Utilities
Quest Diagnostics,health doctor #8180,323.94,Healthcare
Water Service,utility,848.95,Bills & Utilities
Miscellaneous,general misc other,717.77,Others
Uber,gas taxi fuel #7271,18.35,Transportation
McDonalds,delivery takeout lunch,628.02,Food & Dining
Walgreens,medical health #5739,70.93,Healthcare
Netflix,movie game,25.94,Entertainment
Safeway,groceries meat food #5648,114.96,Groceries
H&M,clothes accessories,95.74,Shopping
AMC Theaters,entertainment,45.6,Entertainment
Trader Joes,produce food groceries,93.29,Groceries
Nike,clothes,90.84,Shopping
Safeway,meat dairy produce,196.19,Groceries
Best Buy,accessories electronics,238.34,Shopping
Chipotle,meal takeout lunch,90.72,Food & Dining
Uber,transportation fuel ride,25.82,Transportation
Walgreens,prescription medical #9026,33.1,Healthcare
Walmart,produce #3690,146.57,Groceries
Lyft,gas,19.07,Transportation
Local Clinic,medical health #5449,278.05,Healthcare
Metro,transit ride transportation,14.82,Transportation
AMC Theaters,entertainment streaming,26.18,Entertainment
Walmart,meat bread #8710,60.9,Groceries
Various Services,payment,608.64,Others
Trader Joes,bread #8025,170.98,Groceries
Quest Diagnostics,prescription,435.03,Healthcare
Various Services,general misc,977.31,Others
Miscellaneous,other misc payment #9055,387.33,Others
Target,shoes clothes purchase #4080,188.58,Shopping
Miscellaneous,general other service,617.82,Others
AMC Theaters,movie streaming game,28.31,Entertainment
Xbox,movie #3768,28.65,Entertainment
Amazon,electronics,176.45,Shopping
Best Buy,shoes accessories clothes #4016,246.47,Shopping
Shell,fuel taxi ride,6.83,Transportation
Target,accessories clothes shoes,161.29,Shopping
Miscellaneous,other misc,336.43,Others
Nike,electronics purchase accessories #2683,41.14,Shopping
McDonalds,delivery takeout lunch,751.6,Food & Dining
Shell,transit,65.76,Transportation
Netflix,music streaming movie,41.03,Entertainment
Chipotle,dinner meal lunch,897.87,Food & Dining
Walmart,dairy produce groceries,152.05,Groceries
Miscellaneous,other misc general #7780,690.93,Others
Verizon,payment service bill,414.03,Bills & Utilities
Lyft,transit fuel ride,44.97,Transportation
Quest Diagnostics,doctor health medicine,289.27,Healthcare
Subway,dinner #8102,499.92,Food & Dining
Various Services,general #9570,926.75,Others
Subway,takeout delivery,55.34,Food & Dining
Nike,purchase clothes,84.17,Shopping
AT&T,payment #7985,615.41,Bills & Utilities
Walgreens,medicine doctor prescription,118.96,Healthcare
Metro,transit taxi,18.39,Transportation
Metro,fuel gas transit,41.88,Transportation
Unknown Vendor,misc service #7262,304.33,Others
Nike,accessories clothes electronics #5675,76.8,Shopping
Local Restaurant,restaurant,671.53,Food & Dining
Pizza Hut,dinner meal delivery #7032,973.55,Food & Dining
BP,gas,13.75,Transportation
Unknown Vendor,service other general,130.71,Others
Miscellaneous,general payment #9471,268.49,Others
Netflix,movie,31.15,Entertainment
Various Services,payment other,15.11,Others
Quest Diagnostics,prescription doctor health,360.6,Healthcare
Nike,clothes purchase shoes,26.51,Shopping
AT&T,utility monthly,874.09,Bills & Utilities
McDonalds,dinner,716.88,Food & Dining
Various Services,service,912.37,Others
Kroger,bread,33.03,Groceries
H&M,purchase clothes #4615,214.45,Shopping
Best Buy,electronics clothes,101.95,Shopping
Lyft,ride #4079,38.54,Transportation
Walgreens,health medical doctor,59.0,Healthcare
Metro,fuel gas,62.68,Transportation
Shell,taxi transit gas,30.39,Transportation
AT&T,utility service,98.52,Bills & Utilities
AT&T,service bill #7432,141.57,Bills & Utilities
Chipotle,takeout dinner restaurant,922.34,Food & Dining
Local Restaurant,meal,953.22,Food & Dining
Quest Diagnostics,medical prescription,462.08,Healthcare
H&M,shoes,201.8,Shopping
Amazon,shoes #7167,121.43,Shopping
Uber,ride fuel #5217,52.89,Transportation
Trader Joes,produce groceries meat #1430,90.65,Groceries
Nike,purchase clothes electronics,219.11,Shopping
Electric Company,payment,310.62,Bills & Utilities
Spotify,music entertainment game,13.47,Entertainment
Trader Joes,produce food groceries,93.53,Groceries
